description,importance,estimated_time,preferred_time,workload,priority
"Safety Compliance Audit. Conduct a safety compliance audit for the plant.. Keywords: Safety, Compliance, Audit",Critical,8.0,Afternoon,0.8,1
"Annual Budget Planning. Plan the annual budget for the next fiscal year.. Keywords: Budget, Planning, Finance",High,6.0,Morning,0.5,1
"Employee Training Session. Conduct a training session for new employees on safety protocols.. Keywords: Training, Safety, Employees",Medium,4.0,Afternoon,0.2,0
"Design Electrical Layout. Design the electrical layout for a new industrial plant.. Keywords: Electrical Layout, Design, Industrial Plant",Critical,14.0,Morning,0.8,1
"Schedule Maintenance for Industrial Equipment. Organize and schedule maintenance for key industrial equipment.. Keywords: Maintenance, Equipment, Industrial",High,7.0,Afternoon,0.8,1
"Employee Benefits Review. Conduct a review of employee benefits packages.. Keywords: Benefits, HR, Review",Medium,5.0,Morning,0.5,0
"Vendor Contract Renewal. Review and renew contracts with key vendors.. Keywords: Vendor, Contract, Review",High,3.0,Afternoon,0.2,1
"Financial Report Preparation. Prepare monthly financial reports for management review.. Keywords: Finance, Report, Review",Critical,6.0,Morning,0.8,1
"Marketing Strategy Development. Create a new marketing strategy for a product launch.. Keywords: Marketing, Strategy, Product Launch",High,10.0,Evening,0.5,1
"SCADA System Testing. Perform testing of the SCADA system for a utility plant.. Keywords: SCADA, Testing, Utility",Critical,8.0,Afternoon,0.8,1
"Network Security Audit. Conduct a security audit of the company's network.. Keywords: Security, Audit, Network",High,4.0,Morning,0.5,1
"Performance Review Feedback. Provide feedback on employee performance reviews.. Keywords: Performance, Review, Feedback",Medium,3.0,Afternoon,0.2,0
"Graphic Design for Annual Report. Design the layout and graphics for the annual company report.. Keywords: Design, Report, Annual",High,9.0,Morning,0.8,1
"Power System Design Review. Review the design of the power system for a new industrial plant.. Keywords: Power System, Design, Industrial Plant",Critical,10.0,Afternoon,0.5,1
"Social Media Marketing Campaign. Plan and execute a social media campaign for brand awareness.. Keywords: Social Media, Marketing, Campaign",Medium,6.0,Evening,0.5,0
"Electrical SCADA System Upgrade. Plan and execute the upgrade of the electrical SCADA system.. Keywords: SCADA, Upgrade, Electrical",Critical,0.0,Afternoon,0.8,1
"New Hire Orientation Presentation. Create and present orientation materials for new hires.. Keywords: Orientation, New Hire, Presentation",Medium,3.0,Morning,0.2,0
"Industrial Equipment Procurement. Handle the procurement of new industrial equipment for a project.. Keywords: Procurement, Equipment, Industrial",High,8.0,Morning,0.5,1
"HR Policy Revision. Revise HR policies for the upcoming fiscal year.. Keywords: HR, Policy, Revision",Medium,5.0,Afternoon,0.2,0
"Graphic Design for New Marketing Campaign. Create visual designs for the new marketing campaign.. Keywords: Design, Marketing, Campaign",High,7.0,Evening,0.8,1
"SCADA System Maintenance. Perform routine maintenance on the SCADA system at a power plant.. Keywords: SCADA, Maintenance, Power Plant",Critical,8.0,Morning,0.8,1
"Budget Analysis for New Project. Analyze the budget requirements for the upcoming project.. Keywords: Budget, Analysis, Project",High,6.0,Afternoon,0.5,1
"Employee Training Program Development. Develop a new employee training program for safety protocols.. Keywords: Training, Safety, Program",Medium,5.0,Morning,0.2,0
"Marketing Performance Report. Compile and analyze performance data from recent marketing campaigns.. Keywords: Marketing, Performance, Report",High,7.0,Evening,0.8,1
"IT Infrastructure Upgrade. Upgrade the company's IT infrastructure to improve performance and security.. Keywords: IT, Infrastructure, Upgrade",Critical,0.0,Morning,0.8,1
"Graphic Design for Internal Newsletter. Design graphics for the company's internal newsletter.. Keywords: Design, Newsletter, Graphics",Medium,5.0,Afternoon,0.5,0
